x,y,z,radius
3.558394465409097651e-01,1.480299645785680962e+00,1.246106079149515988e+00,2.028440731763949123e-01
5.347555957072613886e-02,1.908794225778294384e+00,1.088452884617069349e+00,2.150914706720923886e-01
1.510840733664823077e+00,5.495262564781191461e-01,1.408182827490251920e+00,2.275035884044774859e-01
1.856593838052379208e+00,6.853445548056358305e-02,3.973753218030624534e-01,2.273325460482877314e-01
9.258075155282899926e-01,1.366940664614449075e+00,1.941791240933154361e+00,2.176202949447197943e-01
1.103102487776736890e-01,7.607386681604531020e-01,1.991871168189671026e+00,2.007859980704136682e-01
2.927623551320967729e-02,1.244364567131911015e+00,1.105738345383315391e+00,1.857289860425377359e-01
8.433975749487825357e-01,1.496783055963651909e+00,2.265173772550395093e-01,1.782126611264153448e-01
1.888020755625726466e+00,7.930095362894612476e-01,1.812298841772461699e+00,2.155096399423852560e-01
2.036180065149568730e-01,5.767039612222036871e-01,5.936553009109845069e-01,2.280885541257609561e-01
1.914293483246754857e+00,1.521951516534316706e-01,1.932118989580511315e+00,1.723482130019740322e-01
4.098076646720216210e-01,2.443864812147840126e-01,3.077544160882994539e-02,1.783598781776755127e-01
4.704332993261550744e-01,1.112194265333269483e+00,1.383079259608285705e+00,1.938528799421591620e-01
9.556376704832874047e-01,4.245860728384465155e-02,7.762449867238879753e-01,2.075780453052095131e-01
3.783604606375252644e-01,9.397803860341571447e-01,6.773505084538777865e-01,1.589790244664775476e-01
4.098614687986560923e-01,1.653335018070816176e+00,1.797351077372128847e+00,1.639627922902315571e-01
7.708679605998225437e-01,1.962813244269828061e+00,3.207923725054273589e-01,1.761014300847427161e-01
8.888762985287780305e-01,1.909050824350620790e+00,1.619253945646173420e+00,2.039209554102418831e-01
7.309457553639823191e-01,1.263844727780593979e+00,4.748427802600203029e-01,1.611826374095274572e-01
1.474864012078065834e+00,1.415108173509115774e+00,1.126636970183025888e-02,1.547483877199784530e-01
1.150744802317319682e+00,8.541736484128373830e-01,1.561270345167368401e+00,1.918204561738821035e-01
1.881989246844925079e+00,1.421843718687250124e+00,4.803165067161328516e-01,1.589727806206992777e-01
6.816123379404824822e-01,1.221498635154163459e-01,1.930695270337899228e+00,2.055155307254959707e-01
8.217834742586240804e-01,5.603451009372018010e-01,1.208238511793155862e-01,1.645959253175509063e-01
1.287190550297612424e+00,1.968443267733349655e+00,1.401821170479478740e+00,1.521026557240230115e-01
1.940206364437468300e+00,6.712017222736328392e-01,1.784691559553706064e-01,1.626168429762867296e-01
1.708897800594881555e-01,1.322980086361837282e+00,1.851769498238385436e+00,1.860177769250358215e-01
1.017429948260871075e+00,1.788524112008274436e+00,4.807785948404674770e-02,1.560319716012886770e-01
1.539229071525298087e+00,1.042708296050132155e-02,6.268404889199130636e-02,1.767433452454904019e-01
1.163820327643287689e+00,5.081186823225445348e-01,1.635898485188538309e+00,1.527661161132794210e-01
1.385025001880371587e+00,1.577584398146497424e+00,1.346298101531859803e+00,1.762375583213132979e-01
1.541480767438077271e+00,1.835360410074371104e-02,1.922572397805755173e+00,1.588727032260047745e-01
1.685710616217315438e+00,1.065205326058116020e+00,3.248528806655470030e-02,1.540138688408324574e-01
1.563245850239556756e+00,1.352341803443056989e+00,8.614767628732322713e-01,1.506634398007076492e-01
5.402790088714098937e-01,1.715489356780824037e+00,1.337278558581929122e-01,1.882437107848540514e-01
5.976202269584262455e-02,6.416624394027282685e-01,1.180469995487609225e+00,1.534455456789574901e-01
1.354653662884746090e+00,6.473209910420516522e-01,5.178643234359427971e-01,1.711729976619293936e-01
1.341893250101863888e+00,1.161473745537455748e+00,4.407410812396295174e-01,1.714888974130566734e-01
1.560661461156277241e+00,5.542119885382309485e-01,8.709162552414693170e-01,1.587396417312163521e-01
1.911119685249388578e+00,1.810939871863090467e+00,1.883449977947881937e-01,1.975760248370092564e-01
4.194445926167376104e-01,6.699443610979118890e-01,1.078671788991786062e+00,1.538061576073133652e-01
1.548650020675166550e+00,1.960025979783155847e+00,5.622799824242740163e-01,1.578583129096970683e-01
2.221934749715437363e-03,1.990579392363249100e+00,6.562508093162889855e-01,1.826995733359269569e-01
3.310431102259088210e-01,7.715172782312214039e-01,1.680117092306220083e+00,1.594496951262431850e-01
1.958808266474201920e+00,3.963215315016745954e-01,7.858640653156356848e-01,1.583288013159752095e-01
4.841726527553296133e-01,2.185625248220048888e-01,1.571118643799868320e+00,1.821016235769121472e-01
1.730932281440806575e+00,3.563939916691405418e-01,4.927618588545445294e-02,1.906056523735329689e-01
4.290755828726544596e-01,7.649264333576175634e-01,2.856978429669671526e-01,1.500053807755950819e-01
1.525969960753785770e+00,1.980472623050848924e+00,1.975405247576904610e+00,1.935632199206979154e-01
9.683268541192679990e-02,1.220934691777975312e+00,7.395222056808649080e-01,1.632098935556129948e-01
