x,y,z,radius
8.087457494068477359e-01,9.737117337590726063e-01,1.378740356529137623e+00,7.842368617048497970e-02
5.398592323651357772e-01,3.222964103379934997e-01,1.133922190620543224e+00,1.587368195049572162e-01
3.824007496421886199e-01,1.696525169234433195e+00,9.501794394670092236e-01,1.414974126627825957e-01
1.748280033408595502e+00,3.567428867573838036e-01,3.962387857881739528e-01,2.101331021220423645e-01
2.873593217638210628e-01,1.607296233787874229e+00,8.000376613714754725e-02,1.657865813227732132e-01
1.783351036862222516e+00,1.784919215438891094e+00,9.161030630026476551e-01,2.768290951984206383e-01
4.909029183923219186e-02,6.625751448079770789e-01,1.386821735218447538e+00,2.151068451167396645e-01
6.303228150598008117e-01,8.317345860300606741e-01,1.544061858500087592e-01,2.404306119356477700e-01
1.164413064808649256e-01,1.246809446442512570e+00,1.357689516456177969e+00,2.945580552000714447e-01
1.629551934632599286e+00,1.768620352880931224e+00,1.503718455294724476e+00,2.238469662592922904e-01
1.204940463904674575e+00,1.978721681459342907e+00,8.212260272263910421e-01,2.504712169927174603e-01
1.434672137905491196e+00,1.763034807568819362e+00,3.169077802756239404e-01,2.785576728601492080e-01
3.680521870144737306e-02,1.295365267294000144e+00,6.662135094094295829e-01,1.699242073644863238e-01
1.131963689778725302e+00,5.147735398402386586e-02,7.950648708405679832e-01,1.721838601311069528e-01
8.732450102112432333e-02,1.822206906983885322e+00,1.674953923508803788e+00,1.648714996506465413e-01
1.085044447538571211e+00,1.181482200183918030e+00,1.819016517749928008e+00,1.948579548642585813e-01
4.765996645254300113e-01,4.172845289751747622e-01,1.966635169197843869e+00,2.499251619754224718e-01
4.810683811934290954e-01,7.401386189658092363e-01,7.803854209369911477e-01,1.291894000976188950e-01
1.926846086294983884e+00,3.012125904220805950e-01,1.918774670868230281e+00,2.551898206940890201e-01
7.114734428825107704e-02,7.941765011330415014e-02,6.007278184569114776e-01,2.244621773751307170e-01
7.285488827201093143e-01,1.642997124937808806e+00,1.991971046487342800e+00,2.280351235117921982e-01
1.127471834583700927e+00,7.489602387272458195e-01,1.174367941938008059e-01,1.741868066743867127e-01
1.399899470790851863e+00,6.033593989272301172e-02,1.994557792982901478e+00,2.610172792914406403e-01
4.025345678707761277e-01,9.484592933607890464e-01,1.978009242159542769e+00,3.458250490767674767e-01
1.703622116420252963e+00,1.007467575203951693e+00,1.597692493704478522e+00,1.743697313717547104e-01
8.136148124479948285e-01,1.480167594404275588e+00,8.829127116835233657e-02,1.434026797206793546e-01
3.263884327892128123e-01,4.493008153865625243e-01,3.125258522654694171e-01,1.911434916407191709e-01
1.846852431115258097e+00,4.937298315943807192e-01,1.203613831341880269e+00,1.941304486513988348e-01
1.392129887634777852e+00,6.530653203854314137e-01,9.873046972787083986e-01,2.915543149900529651e-01
9.524329566737276265e-01,6.015642073838589621e-01,5.721877406559837675e-01,2.759245348505336981e-01
1.485655523545490242e+00,1.190854341716564235e+00,4.239506917057502822e-01,2.288673016673021532e-01
1.732603669793600032e+00,1.136182436234220550e+00,8.770296996163100545e-01,2.153158311653026180e-01
8.619297419189658749e-01,1.176299167088323827e-01,3.327051008044483726e-01,2.236509675203300074e-01
9.211135803235491748e-01,6.148292773508781117e-01,1.762568449106043156e+00,2.705589202151443273e-01
1.941642886318335481e+00,7.019520267267015390e-01,7.301093276289994938e-01,1.648419049556255900e-01
1.964526765245094397e+00,8.079081606672591231e-01,1.432974352997897771e-01,1.958086521769309141e-01
1.308299294513575850e+00,1.978231387898259364e+00,1.871068888721342471e+00,2.071547524169367049e-01
2.148408237259990805e-01,3.358325777222703756e-02,1.521782311704891866e+00,2.112387135115122161e-01
1.175639251603835422e+00,1.332419382645611217e+00,1.009550926296786555e+00,2.148425756641293705e-01
6.674424745789911961e-01,1.945822314578640633e+00,1.448636582864342826e+00,1.418814145835900487e-01
1.951130069446335602e+00,1.404824791458227473e+00,1.281332254476705568e-01,2.075257091419532018e-01
5.301585960262288344e-01,1.344023674457362594e+00,1.628810051180736185e+00,1.856574229111042640e-01
9.566818922591036056e-03,1.806577888288285472e+00,6.186991577615247317e-01,1.869102093513549390e-01
1.002115886364358666e+00,1.835725004837980290e-01,1.279715143386191079e+00,2.685500706524543979e-01
1.444710297761439888e+00,3.896365935350429854e-01,1.548399106071282727e+00,1.064226730313861669e-01
5.186419317756585379e-02,1.104303631768940308e+00,1.111448994208992236e-01,2.033651085681715820e-01
9.913064327830249933e-01,1.238013606117053689e+00,5.458338279994909836e-01,2.484149241642755468e-01
1.612626557192135657e+00,2.378330576786580330e-02,9.932731743698988147e-01,1.041623429623778352e-01
1.641540923209557024e+00,1.349851492434552380e+00,1.982023839805352239e+00,2.196932109191147287e-01
1.963049864400632227e+00,1.425886786586312072e+00,1.251247571346505882e+00,2.409161189436616335e-01
7.096025916027617342e-01,1.989036753520183387e+00,4.634711268408390761e-01,2.051229744142218092e-01
5.283558415021947230e-01,1.488632074385067616e+00,5.077845672086453988e-01,1.123172554006262869e-01
1.938362371088817149e+00,1.904124052426430236e+00,1.975018574005358296e+00,2.150826473221639501e-01
1.977501831732551008e+00,1.473720895366503573e-02,8.200362597410104648e-02,1.675482818747587865e-01
1.458612046327548040e+00,1.752151258105736353e-01,6.247179522855805800e-03,1.200431218031730585e-01
1.124135057484755507e+00,1.774734978352085379e+00,1.292029208964262654e+00,2.893127021353417150e-01
1.010347651117571743e+00,1.940195258332876316e+00,3.755107984293126755e-02,1.796038090170639645e-01
1.438298878773477174e+00,7.623849192293978838e-01,1.951778644392409001e+00,1.987992822080263400e-01
9.311587659565523367e-03,1.887452737335351127e-01,4.092101451114381859e-03,1.697669881837676753e-01
8.020103277361263494e-01,1.581455541685383367e-02,1.909297684923839000e+00,2.521147090372359845e-01
1.934468366670970108e+00,1.843403328201876690e+00,4.427997514766066622e-01,2.163431204336100089e-01
1.952768043923200691e+00,3.713696479505346204e-02,1.427653244519973885e+00,1.074778751895641427e-01
1.906798463493463922e-02,5.322452086210032185e-01,8.644575951585338203e-01,2.555151481569230554e-01
6.037829209304457212e-01,1.220001386680841904e+00,9.780326193555527459e-01,1.659783563754016478e-01
7.045471758599042289e-03,1.951086681697546510e+00,1.184651632925326492e+00,1.572552699043285040e-01
2.138792017234170117e-02,1.391426501105996083e+00,1.927248426609110332e+00,1.105537006647473175e-01
3.242178666686967858e-04,2.361110097503253957e-01,1.967295434872863957e+00,1.901466801394728623e-01
1.993153417282656381e+00,8.234229282134232220e-01,1.965717258072543938e+00,1.453795435676051018e-01
5.716766066011311764e-01,3.290505323156667217e-03,7.300225851005448519e-01,2.824258609522922181e-01
4.755780740137886542e-01,1.704976146958969436e-04,2.589240052926822244e-03,1.972049600285246396e-01
1.992702389921175543e+00,1.947627616474267853e-04,6.536713516398822144e-01,2.317622808600323936e-01
1.749886442064471304e+00,1.992887771395693841e+00,1.374522029076397089e-03,1.707810094385172617e-01
1.301763793752135356e+00,1.398123693841588633e+00,6.572155605990558395e-04,2.040829717412078470e-01
