2.50000000e+00,8.98015764e-12
2.60000000e+00,4.58074815e-12
2.70000000e+00,1.60029388e-12
2.80000000e+00,1.02913080e-12
2.90000000e+00,6.41476580e-13
3.00000000e+00,4.49373051e-13
3.10000000e+00,2.91332689e-13
3.20000000e+00,3.25159727e-13
3.30000000e+00,1.55458070e-13
3.40000000e+00,7.43364689e-14
3.50000000e+00,7.38373960e-14
3.60000000e+00,5.90377952e-14
3.70000000e+00,6.42806117e-14
3.80000000e+00,6.14155762e-14
3.90000000e+00,5.47342893e-14
4.00000000e+00,4.51076101e-14
4.20000000e+00,3.78656000e-14
4.40000000e+00,3.10643397e-14
4.60000000e+00,2.60679407e-14
4.80000000e+00,2.07744772e-14
5.00000000e+00,1.68174697e-14
5.20000000e+00,1.45695937e-14
5.40000000e+00,1.38514890e-14
5.60000000e+00,1.23018228e-14
5.80000000e+00,1.10427363e-14
6.00000000e+00,9.48770479e-15
6.30000000e+00,8.02463555e-15
6.70000000e+00,5.76311532e-15
7.00000000e+00,4.56718007e-15
7.30000000e+00,3.54258864e-15
7.70000000e+00,2.57715979e-15
8.00000000e+00,2.10378869e-15
8.50000000e+00,1.70121698e-15
8.70000000e+00,1.58637644e-15
9.00000000e+00,1.49001426e-15
9.20000000e+00,1.37007979e-15
9.50000000e+00,1.25521894e-15
9.70000000e+00,1.16859594e-15
1.00000000e+01,1.07366832e-15
1.10000000e+01,7.90975150e-16
1.20000000e+01,5.95491263e-16
1.22000000e+01,5.47268273e-16
1.25000000e+01,5.48741383e-16
1.27000000e+01,5.60895435e-16
1.30000000e+01,5.07788545e-16
1.35000000e+01,4.36671173e-16
1.40000000e+01,3.74268613e-16
1.45000000e+01,3.21268695e-16
1.50000000e+01,2.78711019e-16
1.60000000e+01,2.26326355e-16
1.70000000e+01,2.21235008e-16
1.80000000e+01,2.61616429e-16
2.00000000e+01,5.79256301e-16
2.20000000e+01,1.45196551e-15
2.40000000e+01,3.24585731e-15
2.60000000e+01,7.96737618e-15
2.80000000e+01,2.18103798e-14
3.00000000e+01,6.56997132e-14
