x,y,z,radius
6.534249028518694935e-01,1.148996205247544422e+00,1.169052202481932756e+00,1.258484301133489247e-01
1.955051792010445322e+00,1.199372826239463841e+00,6.226926026725148056e-01,2.093991345811969385e-01
5.770813382932162838e-01,1.163384312421001487e+00,4.578094324920944924e-01,1.492622555055683753e-01
1.088276203173034418e+00,1.752449267318274551e-01,1.550644423510712189e+00,2.538908106672689291e-01
1.942435480615948507e+00,4.552697227634026067e-01,1.691850067567373772e+00,2.199037777816491568e-01
1.177664350865819110e-01,1.207809031720030957e+00,9.869237497275977766e-01,1.386320197205941906e-01
8.076054267522320140e-01,1.501995848958526114e-01,5.294426077136116238e-01,2.308154521290420313e-01
1.567663577065975700e+00,1.582934729825060227e+00,1.514377645412773310e+00,1.907380684978997876e-01
1.734335881106686017e+00,1.909671375621031064e+00,2.068416769541412126e-01,1.829071127305259281e-01
1.013595348104949639e-01,1.816403318509700382e+00,1.803870633232346865e+00,2.213805596742142445e-01
1.352379592423806010e+00,5.563383638034169465e-01,7.101216406377813817e-01,1.749524671193441461e-01
1.881042025263081063e+00,6.432801490745957418e-01,9.548306232246495107e-02,1.787602073251362556e-01
2.463183315887924330e-01,4.329575359351626740e-01,5.140242660782500493e-03,1.750850329371438918e-01
9.341134606389017714e-01,1.965144856044508392e+00,1.553585938026302626e+00,1.427135007002568456e-01
1.058845087365925863e+00,3.005668315314207195e-01,1.100475382806069824e+00,1.102246693904262165e-01
1.289376128686345602e-01,6.076986117788317765e-01,1.827007598665633559e+00,2.214652258490018844e-01
8.914457696619062510e-01,4.169039236448734975e-01,1.163637086249689062e-01,1.160577887050104201e-01
1.889759887791806703e+00,9.875233659274390563e-01,1.035431633896854331e+00,8.577148052840838366e-02
1.440887986332552995e-01,3.105284762950828448e-01,1.123189689441039807e+00,1.729985097629222757e-01
8.824047092585753926e-01,1.791342550708060921e+00,3.450300605291878320e-01,1.759504819186884783e-01
7.175885079674468869e-01,1.197266868323960676e+00,1.905178454830280588e+00,1.609610809167326961e-01
1.979165075004921004e+00,1.919554391942456695e+00,9.331087015481728253e-01,1.687099015822610681e-01
1.177009831614097779e+00,1.608590683725392934e+00,1.084446853231709307e+00,1.318584988835295735e-01
1.343224649240835289e+00,9.287919862137472560e-01,1.420238221360338837e+00,1.201323032771468430e-01
1.854657374325511920e+00,1.029182435105856275e+00,1.980861860420421561e+00,1.189043813806086175e-01
1.084315734115457452e+00,1.741437822109809463e+00,1.353679362820083165e+00,3.986401754067539493e-02
1.321853505884087232e+00,1.107604810832640396e+00,2.110232111182492876e-01,1.829970431234387296e-01
1.785452488524623460e+00,1.412740266752933405e+00,2.269624062845581047e-01,9.425581016857194350e-02
6.796315151957830203e-01,2.321860665773831378e-01,1.236135058897992911e+00,6.876670625853374685e-02
7.750942061492625823e-02,1.968210364388645717e+00,9.065826362164242092e-02,1.344177550015294431e-01
2.085328941778765710e-01,1.878863528033107855e-01,1.653257540226420685e+00,9.004561656473092368e-02
1.912436313739833249e+00,1.969531156759869228e+00,1.369702987339795452e+00,9.966838425235398369e-02
6.219162703894633992e-01,1.718259732081891977e+00,1.728083522119619575e+00,9.086015243299136457e-02
1.749057435584938425e+00,2.249113704882081677e-01,1.337180116135555652e+00,9.920791175290344377e-02
2.624666395469346103e-01,1.969355072330104983e+00,1.061564277013221647e+00,1.571896092678787271e-01
1.708961229870874288e+00,6.038492965503227117e-01,1.976281717603930010e+00,5.213247835764639460e-02
1.301227589132583962e+00,1.989163195583895760e+00,1.211776561046951528e+00,7.560242583866476351e-02
7.977917787472427191e-01,1.927567623952791243e+00,8.051144259012517068e-01,1.064993974609584060e-01
8.710075478333900723e-01,1.879805771315168794e+00,1.156213678565877867e+00,6.953463529766348850e-02
1.046604731616798345e+00,6.554986366808779330e-01,1.945850689819931700e+00,9.388066600566676023e-02
1.473908305859242374e+00,2.251643726380403096e-02,5.156106170177192638e-01,1.451769903117870464e-01
1.004222754571745924e+00,8.204303327217968844e-01,1.384206922664554806e-01,9.540099886849506827e-02
8.710691228383526941e-01,4.867505680378163002e-01,7.896326322218704119e-01,9.163029721961424290e-02
1.361565911932236972e+00,1.988052262663678516e+00,1.970241751934343144e+00,1.420453517238174090e-01
1.086947230708228268e-01,9.550123724156983629e-01,4.172870187736883452e-01,7.097306440734008071e-02
1.497949016560090385e+00,1.459703483631946908e+00,6.781330811134511638e-01,9.372295396593685601e-02
9.572952726391593670e-01,1.011780361379779114e+00,1.627533888247236993e+00,9.693428422331754057e-02
6.838674853942048326e-01,1.925377911600940406e+00,1.389624455728325492e+00,6.409230815227937028e-02
4.928367115475373872e-02,1.286448329115929878e+00,1.495079568541049175e+00,1.191075922641363222e-01
3.346196745924869265e-01,1.603426270806659337e+00,1.413859455064574000e+00,7.768484471883124742e-02
